[INFO ] 2023-03-08 00:03:12.680 [main] Filters - EventoPerdida{player=Player{id=30486, name='Pedro González López'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:12.680 [main] Filters - EventoPerdida{player=Player{id=7024, name='Jorge Luiz Frello Filho'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:12.680 [main] Filters - EventoPerdida{player=Player{id=3477, name='Álvaro Borja Morata Martín'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:12.680 [main] Filters - EventoPerdida{player=Player{id=7471, name='Andrea Belotti'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:12.680 [main] Filters - EventoPerdida{player=Player{id=7038, name='Manuel Locatelli'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:12.681 [main] Filters - EventoPerdida{player=Player{id=7471, name='Andrea Belotti'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.925 [main] Filters - EventoPerdida{player=Player{id=6685, name='Mikel Oyarzabal Ugarte'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.928 [main] Filters - EventoPerdida{player=Player{id=6685, name='Mikel Oyarzabal Ugarte'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.928 [main] Filters - EventoPerdida{player=Player{id=7156, name='Federico Chiesa'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.928 [main] Filters - EventoPerdida{player=Player{id=7788, name='Ciro Immobile'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.928 [main] Filters - EventoPerdida{player=Player{id=7156, name='Federico Chiesa'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.928 [main] Filters - EventoPerdida{player=Player{id=7788, name='Ciro Immobile'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.929 [main] Filters - EventoPerdida{player=Player{id=30486, name='Pedro González López'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.929 [main] Filters - EventoPerdida{player=Player{id=8181, name='Nicolò Barella'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.929 [main] Filters - EventoPerdida{player=Player{id=30486, name='Pedro González López'}, type=Type{id=3, name='Dispossessed'}}
[INFO ] 2023-03-08 00:03:27.929 [main] Filters - EventoPerdida{player=Player{id=6685, name='Mikel Oyarzabal Ugarte'}, type=Type{id=38, name='Miscontrol'}}
[INFO ] 2023-03-08 00:03:27.929 [main] Filters - EventoPerdida{player=Player{id=16532, name='Daniel Olmo Carvajal'}, type=Type{id=38, name='Miscontrol'}}
